gene_id	gene_name	S6_F_DMSO_REP1	S6_F_DMSO_REP2	S6_F_DMSO_REP3	S6_F_TDO2_REP1	S6_F_TDO2_REP2	S6_F_TDO2_REP3	S6_M_DMSO_REP1	S6_M_DMSO_REP2	S6_M_DMSO_REP3	S6_M_TDO2_REP1	S6_M_TDO2_REP2	S6_M_TDO2_REP3	WT_F_DMSO_REP1	WT_F_DMSO_REP2	WT_F_DMSO_REP3	WT_F_TDO2_REP1	WT_F_TDO2_REP2	WT_F_TDO2_REP3	WT_M_DMSO_REP1	WT_M_DMSO_REP2	WT_M_DMSO_REP3	WT_M_TDO2_REP1	WT_M_TDO2_REP2	WT_M_TDO2_REP3
FBgn0034314	nopo	59	52.057	75.136	52.59	59.361	64.186	1086.652	835.683	464.07	60.005	77.284	72.957	51.368	87.892	66.004	53.025	59.76	54	106.277	121.923	88.053	96.126	45.816	72.31
FBgn0034315	CG5721	929	855.219	1150.949	1058	967.009	844.036	272.152	395	350.519	1055.184	975.261	1055.94	728.894	1482.55	1042.878	804.586	626.154	910.728	1192.653	1249.639	1088.463	965	1256.383	830
FBgn0034317	CG14499	7.878	5	4.024	2.607	16.003	9.012	7.209	12.748	5.853	7.019	12.037	2	3	14.094	5.002	3.014	6.988	4	12	13.008	10.999	9.005	9	5
FBgn0034318	CG14500	12	2.997	12.005	10.997	8	15	3	7.464	5	14.337	25.996	1	9	5	6	6.62	9.011	22	9	3	5.322	9.065	8	12
FBgn0034321	CG14502	125.075	177	183.344	172.334	203.003	143.845	41.867	75.995	70.944	188.098	176.275	148.119	141.909	155.049	226.821	246.545	140	244.137	222.575	229.368	239.84	176.906	148.999	181.352
FBgn0034322	CG18536	16	29.012	35	29	16.04	22.355	12	15	8	31	25	21	17	22	35.011	40.001	22	40.006	46.818	53	36.137	30	29.002	28
FBgn0034323	CG18537	22	9	17	18	16	14	3	12.002	12	29	34.263	30.939	4	17	12	22	18.716	4	12	23	25.125	19	17	16
FBgn0034324	CG18538	11	5	7	6	9.001	12	3	4	7.25	11	12.413	14	2	17	11.66	8	9	8	3	17	9	10	8	14.17
FBgn0034325	CG18539	9	4	24	14.356	17.998	6	11	7	7	14.809	15	10.001	6	20.041	6.09	11	8	9	20	20	11	21.39	24	27
FBgn0034326	CG18540	14	20.147	21	24.227	30	19.305	1	7.01	6	39	15	22	1	27.035	13.044	17.752	9	14.465	37.201	32	35.133	21	33	22.451
FBgn0034327	CG14505	129.398	126.001	185.791	137	163.052	137.935	36.13	68	61.087	168.505	179	184.373	76.881	171.373	93.085	130.457	93.378	97.119	221.949	181.217	208.738	174	239	193
FBgn0034328	BomBc1	1652	1253.751	1718	1851.985	6364	910.205	328	1864.936	146	1518.965	1449.971	2411.991	326	299.001	201.982	1067	103.045	124	216	258.293	460	183	228	254.594
FBgn0034329	BomS1	2181	1469	2062	2498	5867	1183	179	2389.087	133	1182.976	1126	1956	3689	2223	2469	9153.573	2165	2553.999	2134.999	2381.999	3051	1629.769	2148	1443
FBgn0034330	BomS4	1372.244	856.974	1307	1959	1607.982	1000.718	74.963	148	97.999	366	230.931	602.917	988.99	258.949	925.663	771.627	473	816.998	395.95	416.988	439	409.999	102	149.993
FBgn0034331	BomBc2	7645.558	8363.026	10449	11318.34	16462.018	4591.174	667.037	2711	869	3133	2132.435	4724.003	20040.01	2496.051	12688.021	24781.014	4779	10209.002	3565.051	2653.991	4076	3465	4688.986	1767.006
FBgn0034335	GstE1	1350	1101.032	1644.13	1668.749	1540.152	1036.828	389	538	378.999	1571	1164.078	1854.998	407	749.705	430.947	452.462	293.606	475.301	457.023	434.997	392	495.041	660.309	429
FBgn0034345	CG5174	2923	3070.002	4181.228	3645.942	3496	2482.001	727.956	1045.705	1044.247	4216.905	3967	3673	1768.001	4749.117	2587.994	2399	1929	2587.767	2953.291	3406	3052.702	2797.484	2358.999	2448
FBgn0034346	PIG-O	800.977	799.078	1125.181	1126.998	994.826	932.251	269.255	527.961	489.741	1215.166	1162.297	1120.393	633.521	1684.83	934.208	844.62	779.998	829.381	1449.79	1256.137	1284.37	1237.975	1178.001	1137.216
FBgn0034350	Lamtor2	163.354	134.592	187.327	223.5	342.747	289.504	81.281	65.817	143.056	166.375	345.544	344.715	226.699	441.01	308.872	123.519	112.071	157.006	338.864	208.692	186.087	151.003	194.675	122.473
FBgn0034351	rswl	271	276	330.065	370	297.281	225.971	73	90	103	318.004	383.272	339.691	225.102	532	446.917	317.994	304.959	356.204	437	444.784	491	412.266	275	317.999
FBgn0034352	Dnaaf3	15.027	14.019	16.028	11.256	23.261	20.035	13.377	40.27	28.43	29.014	45.045	25.399	15.015	34.489	23.016	25.009	22.002	14.155	34.879	35.989	47.999	33.604	33.002	26.421
FBgn0034354	GstE11	192.236	172.992	199.46	194.16	143.131	144.438	74.199	92	53.907	205.507	203.093	190.861	149.627	345.767	192.038	118.001	82.009	176.08	177.936	146.784	165.97	202.222	249.736	111.953
FBgn0034356	Pepck2	72	59.161	79	89.003	140.846	62.001	61.859	58.303	53.492	46.442	180.687	95.612	471.978	78.861	320.771	256.264	76.436	273.517	125.576	102.813	102.998	73.581	319	174.035
FBgn0034360	CG10927	62	64.544	54.024	57.029	66.004	54.829	15.018	19.001	26.019	82	74.473	74.007	39.887	113.034	84.001	69.989	64.025	84	115.806	92.059	110.189	94.074	75	92.909
FBgn0034361	mRpS28	216	199.347	283.975	298.534	237.091	189.848	60	91.094	97.981	267.01	235.535	244.246	161	257.341	182.302	201	167	176	280.019	231.256	253.214	191.954	216.279	255.83
FBgn0034362	CG5323	211	135.004	154	202	217.877	179.353	48	63.995	40	198.959	199.718	211.144	148.993	310.983	225.57	232.333	164.96	262	241.749	258.37	247.996	227.144	154.994	139.775
FBgn0034363	CG5327	88.326	77.366	59.428	83.268	76.919	45.532	14.036	43.872	19.924	43.846	53.621	49.236	227.966	18.036	235.383	163.447	324.976	274.924	103.706	113.787	80.866	110.808	111.403	97.322
FBgn0034364	CG5493	1894.136	1432.081	2299.571	2800.731	1928.832	1546.167	166.73	585.52	230.082	980.672	578.947	1246.624	4842.101	113.089	4196.615	3494.173	1907.549	5618.962	1849.084	2788.363	2130.928	2580.108	2230.419	1152.561
FBgn0034365	CG5335	346.344	370	476.807	456.381	350	275.08	78.374	75.999	65	307.97	269.963	247.783	377.998	396	493.196	415.66	475.257	445.14	415.999	340.242	350.27	350.978	354.674	306.469
FBgn0034366	Atg7	312.245	377.028	494	516	449.379	358.271	99	121.071	132.984	479.887	450.513	402.091	221.902	475.115	465.343	346.023	287	445.949	463.551	560.408	518.986	375	301	293
FBgn0034368	zda	2052.002	1463	2062.681	2170.69	2058.962	1618.951	273.898	438.611	443.905	1852.001	1664.5	1742.999	1439.974	2122.82	2270.975	1789.813	1482.699	2072.008	1835.934	2076.386	2000.843	1921	1258.714	1354.712
FBgn0034371	Ntan1	1672.008	1557.999	1877.999	2101.352	1946.945	1654.011	371.497	764.135	608.865	2235.016	2135.99	1889.159	1585.994	2881.063	2210.666	2150.127	1293.882	1957.205	2358.85	2759.978	2874.987	2559.976	2119.966	1734.993
FBgn0034372	Gint3	1043.575	974.17	1244.9	1222.945	1150.059	799.229	0	898.881	425.38	1267.602	1269.46	1091.451	795.691	1726.926	1043.743	956.08	1028.531	970.471	1312.753	1431.638	1654.544	1122.149	1195.939	1192.956
FBgn0034377	CG15071	25.205	19	43	37	35.012	24.839	7	13.946	16	37	28	32	26	35.088	20	18	21	27	36	34	29.998	44.125	27.901	25
FBgn0034379	CG15073	240.537	223.364	355.348	341.796	311.134	220.476	80.104	113.336	133.053	416.424	369.04	300.279	253	544.899	327.489	284.459	293.566	330.882	417.516	475.198	414.493	389.604	366.946	345.063
FBgn0034380	Vps51	558.757	592.073	726.062	698.001	633.586	557.6	164.04	209.971	221.829	763.455	799.404	727.082	399.368	965.502	677.486	536.465	502.885	554.512	859.875	824.695	752	680.013	735	612.924
FBgn0034381	List	492.192	462	582.393	630.001	566.55	495.007	201.343	290.8	231.959	841.006	1038.984	747.291	410.42	1330.993	602.023	558	328	508	916.013	816.127	877.395	848.438	1031.676	831
FBgn0034382	CG18609	20	22	25.167	27	29	23	4	78.992	34	20	39.494	29.536	23.912	42	23	21	19.665	21	46.347	29	58.075	38.261	40	27.022
FBgn0034383	CG17821	10	8	9	17.123	16.287	17	6	11	10.332	20	19.004	26.045	12	17	11	19	184.855	5	15	28.016	27.069	36.802	23	25.744
FBgn0034387	Cyp12b2	770.248	738.693	1045.852	1162.55	1062.995	824.909	188.159	306.523	297.47	989.93	977.656	906.984	1033.632	1648.918	1266	1143.879	608.534	1185.988	1306.283	1458.033	1269	1217.323	1287.953	999
FBgn0034389	Mctp	2047.684	1996.072	2633.08	3035.469	2640.997	2020.267	583.449	1326.647	1008.978	3370.863	2993.298	2693.255	1701.019	3549.657	1956.189	2053.009	1624.004	1793.162	3470.257	3239.519	3299.12	2908.923	2935.108	2738.895
FBgn0034390	CG15093	3696.265	2094.558	2122.23	3649.679	3621.193	2521.204	104.122	267.083	131.871	675.621	696.851	1005.686	3128.667	1208.279	5535.769	5542.946	3087.097	9563.178	3314.688	5028.103	3215.261	2822.811	4166.695	2782.681
FBgn0034391	CG15080	129.895	118.839	165.808	167.756	170.277	168.118	82.991	84.251	59.774	113.084	164.398	94.862	129.172	288.028	202.019	207.032	120.494	136.056	178.464	168.744	153.661	156.629	139.527	145.721
FBgn0034392	MFS15	578.967	497.731	724.898	634.761	702.9	429.825	179.985	397	292	590	633.573	601.622	527.997	1042.327	692.98	552.9	334.457	585.978	720.047	840	727.855	635.6	614.295	525.181
FBgn0034394	CG15096	11122.969	11756.623	21807.023	14022	11696.199	16553.13	608	6549.03	4138.98	4483.692	2330.704	8589.735	20006	806.456	27884	9681.676	12818	34446.87	11963.413	19601.072	11824.802	13944.047	10819	8183.988
FBgn0034396	CG15097	396.726	433.02	523.784	527.391	525.873	543.547	149.05	228.097	199.843	592.878	690.61	598.739	679.129	1631.131	798.111	805.332	571.122	736.671	1295.965	1402.46	1294.847	1109.343	1524.617	1177.987
FBgn0034397	CG15082	204.418	220.66	212.824	254.628	269.502	342.729	54.007	132.995	59.357	190.162	288.091	160.206	221.682	637.791	316.755	278.54	234.391	258.023	534.597	534.45	557.221	416.08	576.832	410.243
FBgn0034398	CG15098	13492.887	9624.988	14541.73	15801.002	13166	9234	2153	3664	2190.934	9865.019	6814.975	9772	10813	11371	14433.09	11250	8480.997	10863.693	7952	10202.17	9033.509	10219.37	10453	5918.869
FBgn0034399	CG15083	385	490.222	631	374	487	356.966	130	212.04	170	594.997	573	649.006	933	1094	1013.287	782	662	699.955	1002.99	890	861.013	941	878.002	627
FBgn0034400	CG15099	6964.636	7098.719	9462.214	8566.561	8505.042	6484.424	2416.188	4541.98	3817.228	9140.223	9725.538	8702.35	4912.075	10873.844	6803.684	6407.894	5849.101	5622.402	8349.934	8165.338	7874.204	7483.062	9192.983	7310.364
FBgn0034401	MetRS	1238.741	1315.433	1635.992	1564.019	1474.82	1237.778	423.693	737.993	674.842	1807.017	1737.255	1632.086	1008.3	2266.593	1293.989	1177.791	1126.487	1317.487	1998.326	2205.933	1936.637	1603.183	1829.741	1556.873
FBgn0034402	CG15084	88	105	142.894	151.09	124.031	101.998	33.743	46.003	56.501	147	148.166	137.07	90	185	150	99.704	72.138	142	153.327	162.288	158.968	118	75.999	105
FBgn0034403	CG18190	11	23	6	7	16.007	7.981	4.003	18.001	8.221	8	28.017	9.002	12	21	18.001	5.001	23.15	7.372	9.045	13	12.878	12.434	11.009	8
FBgn0034405	Jheh2	2542.165	2163.152	3047.135	3232.756	2439.957	1912.872	494.74	2014.915	1578.625	2292.686	2040.606	2027.215	2766.505	2986.47	2919.25	2417.167	811.605	2262.357	1910.927	1774.622	2041.031	2452.634	2274.752	1519.756
FBgn0034406	Jheh3	232.45	228.893	240.394	271.073	255.993	184.919	110.209	131.304	164.659	406.342	386.376	334.112	129.95	411.5	195.099	163.556	66.971	130.695	458.226	468.374	420.051	568.063	372.298	317.831
FBgn0034407	DptB	5727	257	330	354	241	382	1519	6256	165.989	305	2232.915	12894	357.903	196.987	32703.46	29786	4356	899.001	476.992	70078.128	11103	438.017	5149	120
FBgn0034408	sano	1385.65	1143.74	1662.926	1502.31	1537.381	1037.891	836.258	2142.191	3048.527	1666.044	1621.789	1244.726	1060.998	2412.005	1256.297	1375.481	971.332	963.969	2053.075	1856.27	1861.814	2084.341	1859.079	1460.671
FBgn0034411	CG18605	41.49	175.047	46.373	47.022	128.706	47.201	22.035	99.535	37.896	76.916	253.288	87.557	47.408	190.607	184.468	128.53	46.49	35.729	134.176	219.148	93.141	150.113	45.132	23.308
FBgn0034413	CG15115	4	6.025	5	3	3	10	4	1.893	3	6	5	7	3	13	5	7.988	2	6	2.003	16.998	12	6.01	6.01	4
FBgn0034415	CG15116	3.003	3.023	2.018	5.995	0.976	6	649.69	546.341	292.521	11	6	5.995	8.023	6	5	9	334.319	6.011	8.078	10.483	10.97	6	6.238	7
FBgn0034416	CG15109	18.614	14.009	37.974	4.703	22.731	34.67	16.002	17.003	11.104	13.334	21.211	17.64	25.914	148.873	42.185	17.668	23.997	17.427	18.304	23.141	22.587	29.365	17.256	18.624
FBgn0034417	CG15117	823.674	481.616	745.678	841.791	941.008	747.401	290.823	1286.837	889.884	693.822	500.34	747.673	437.578	519.483	490.385	415.763	958.935	467.423	586.906	592.749	519.366	688.326	712.374	371.281
FBgn0034418	CG15118	3176.846	3450.085	5030.94	4098.643	4000.703	2966.431	839.007	1200.455	1228	4129.065	4443.785	3967.885	2535.082	4853.507	3256.978	2640.683	2502.297	2644	3780.133	3860.866	3892.996	3628.483	3662.159	3523.404
FBgn0034419	CG15111	1459.987	1435	2021.867	1868.017	1739.933	1329.254	379.229	667	680	2041.002	1986.172	1845.111	1338.999	3175.833	1848	1636.803	1192.402	1594.792	2329.998	2275.999	2039	2025.158	2286.888	1950.937
FBgn0034420	CG10737	5231.452	4500.435	6280.942	5600.648	6261.575	4460.414	33455.388	26035.171	18338.826	7828.752	6937.191	6430.431	3718.626	7819.553	3904.932	4077.549	2891.933	3545.775	6637.361	6819.078	6446.546	6225.197	7587.993	5868.615
FBgn0034422	CG7137	126.968	107.012	136.906	145	87.998	113.109	33.993	45.191	57.952	152.33	117.255	126	74.418	175.995	149.905	121	110.824	147.058	193.191	178.421	174.735	103.169	81.034	95.678
FBgn0034423	tbrd-2	14.023	9.37	15	10.786	18.444	10	16.883	11.13	24.348	11.932	19.811	9.972	10.004	22	15.03	10.163	18.066	8	25.857	16.66	14.113	15.031	10.476	12.026
FBgn0034425	CG11906	387.885	302.202	398.471	424.997	421.886	332.842	130.324	172.483	127.166	410.667	484.757	419.73	238.56	628.555	416.646	299.508	283.704	326	531.278	492.244	550.049	431	360.602	407.175
FBgn0034426	AANATL5	0	3	0	0	0	0	1.002	0	0	0	0	0	0	2.355	0	1	1	0	0	0	0	0	3	1.07
FBgn0034427	CG10474	3	6.014	7	6	7.025	6	11.486	15.284	5.019	8.125	25.477	5	10.502	14	3	7.02	6	7	12.053	21.263	16	7.369	7.008	7
FBgn0034428	AANATL6	4	0	2	6.265	5.001	9.997	1165.292	4064.617	5408.584	22.911	10.999	10.852	10.158	16.601	7.025	4.864	0	4.06	13.117	13	42.363	42.729	22.997	32.284
FBgn0034429	AANATL4	2.146	5	6.157	10.032	4.997	5	5.226	2	1.009	3	13.174	5.692	4	22.209	4.046	4.008	7.998	5.998	11.001	7.994	9.333	5.972	4.109	5.116
FBgn0034430	mip40	366.998	1148.146	596.607	494.173	1855.322	5545.441	333.023	4027.292	536.408	1214.929	3689.301	1370.529	638.588	2774.06	2575.704	2119.08	660.09	721.839	1215.195	1799.571	1093.977	1976.398	439.181	281
FBgn0034432	CG7461	7107.828	3837	5528.835	7004.759	5717.858	4290.419	576.014	1205.286	1011.749	3177.747	1930.808	2955.22	7579.896	2967.89	8872.646	7212.67	2594.434	8459.446	3722.532	4666.711	4234.183	4950.914	3338.951	2653.759
FBgn0034433	EndoB	1634.69	1719.155	2021.437	2037.164	1863.987	1743.155	400.908	747.537	617.095	2706.605	2845.886	2432.33	1071.331	2873.311	1540.062	1283.785	961.07	1280.902	2280.328	2443.07	2426.926	2062.072	1659.747	1931.426
FBgn0034435	fest	81.049	90.011	96.004	60.035	113.891	91.375	54.847	42.001	67.381	103.105	149.85	95.079	30.67	72.602	51.099	53.934	73.537	51.007	117.589	110.336	107.408	86	74.777	100.022
FBgn0034436	CG11961	1791.909	1256.75	1623.472	1891.896	1788.68	1343.822	263.365	510.133	422.181	1186.082	1151.884	1051.055	1674.253	2282.004	2117.823	1639.741	899.601	1615.285	1186.032	1102.126	1115.852	1208.089	1243.703	978.495
FBgn0034437	CG10051	70	80.404	85.047	139.361	95.58	117	68.071	69.66	39.03	141.076	230.315	150.06	27.188	20.091	41.625	31.979	40	10.108	40.139	41.392	47.458	38.133	32.009	21.227
FBgn0034438	CG9416	669	649.765	912.235	1014	887.255	1188.19	63.416	341.485	260	462.945	424.091	464.055	593.55	407.88	404.899	627.996	158.998	532.171	732.3	639.943	688.971	594.258	445.042	626.997
FBgn0034439	CG10062	240.228	188.946	265.023	331	305.491	186.987	137.068	143.848	101.709	414.069	391.019	284.993	216.135	665.059	262.374	248.363	202.999	215.999	414.028	449.39	445.668	387.278	367.002	309.603
FBgn0034440	CG10073	659.304	752.995	973	1032.56	666.724	163.559	111	173.329	67.144	40.1	61.847	122.045	787.695	34.778	1287.019	1478.825	282.982	1017.19	30.672	40.057	27.016	75.885	39.663	17.634
FBgn0034441	CG10081	22.645	13.896	24.799	10	26.567	19.969	27.428	45.192	15	11.055	205.246	19.008	15.265	17.03	25	16.083	6	8.015	19.959	32.997	52.44	16.258	22.455	10.378
FBgn0034442	CG11257	161.998	155	228.493	210	221.145	186.17	60.98	60	80.306	228	207.276	190.034	153.147	354.924	215	131.965	130	178	237.028	224.087	265.01	273.342	172.233	192
FBgn0034443	cer	427.649	446.972	498.996	688.369	494.289	326	68.487	141.952	108.258	467.142	391.933	351.299	607.979	1106.995	678.21	516.848	290.999	591.997	479.126	523.979	371.998	470.884	242.119	244.752
FBgn0034446	Arl6	6	14	19	22	44.995	74.005	10.342	8	1.024	37.002	61.153	25	6	27.006	24.059	48.978	15	9	23	42.998	29	35.618	53	9
FBgn0034447	CG7744	186.099	211.018	281.776	218.008	233.499	250.988	63.908	186.147	132	272.426	315.107	289.87	145.967	353.242	265.064	151.845	170.003	225.098	331.923	370.025	338.525	247.963	257	251.817
FBgn0034451	TBCB	432.342	543.043	623.826	519.013	538.345	395.726	146	181.242	175.549	668.047	585.17	599.472	324.003	608.174	367.79	352.559	267.268	372.837	527.063	532.442	449.406	482.077	319.011	408.142
FBgn0034452	Oseg6	153.198	156.81	241.51	199.293	189.817	143.144	5024.012	10363.341	15017.631	243.786	248.904	194.552	87.111	228.701	141.206	149.15	103.502	124.322	217.283	274.455	275.829	244.773	245.017	221.932
FBgn0034454	CG15120	43.194	22.217	45.111	44.37	42.871	22	19.998	20.895	19	72.354	82.029	75	49.032	104.406	44	12	13	22	42.211	58.082	49.005	60.974	83.999	40
FBgn0034455	CG11007	378	335.752	419.122	466	422.41	380.09	123.739	243.999	197.984	473.076	494.937	457.996	344.161	621.426	425.979	330.973	394.981	384.804	574.965	512.93	582.271	493	531	459.726
FBgn0034456	Ir56b	16	36.038	11.952	7	10.227	10	12.752	21	11.326	19	28.145	15	13.059	26.043	7.306	10.409	7.004	10	8.669	12.924	13.227	14.612	4	5
FBgn0034457	Ir56c	13.015	16	12.419	7.002	6.113	10.999	8.541	15.593	7.047	14.205	19.076	5.112	11.656	14.625	17.621	6.075	5.245	9.407	18.046	15.002	9.36	16.502	11.039	11.171
FBgn0034458	Ir56d	10.234	19.001	21.355	11.004	19.985	11	570.991	288.695	177.525	30.02	38.534	24.999	16.185	20.007	19.211	20	13.015	13	23.825	25.994	30.508	29.056	29.001	16
FBgn0034459	TTLL6A	313.282	251.16	381.388	327.182	328.259	307.327	75.981	116.874	119.893	343.996	352.895	359.512	147.999	364.809	218.126	238.882	172.154	187.051	353.684	311.662	300.191	345	391.627	333.002
FBgn0034460	CG18367	2	3	3	5.015	3.083	4.285	7.982	4	2.001	1	5	8	1	5.236	2.127	5.077	5	5	11.007	4.805	8.819	9	1	2
FBgn0034461	CG15124	11	7.34	10	1	8.099	14	8.001	6	5.05	5	6.111	10.411	12.315	12.497	6	7.003	8.095	5.037	27.521	17.326	9.026	12	10	7.108
FBgn0034462	CG15905	5.019	3	6.219	3.446	5.067	2	7.402	3	6.996	6	13	2.954	4	8	8	3.007	7.518	2	7	8.047	8.028	5	4.041	2.003
FBgn0034463	CG15125	4	2	3.999	3.999	1	1	4.898	1.411	2	5.004	12.649	2	4.785	9	1.951	7	0	0	4.042	3.964	3.816	1	4	1
FBgn0034464	CG11018	11	9	11.003	10	18.108	25.737	4	7.519	10	15.024	26.516	13	9	12.017	18.217	9	4.113	8.3	28.319	25.007	10.364	12	9	5.87
FBgn0034467	CG15128	10.87	25.473	17.004	61.474	40	89.228	7086.843	23635.93	25938.225	286.368	99.899	75.235	63.422	107.786	47.007	26.058	22.565	48.932	21.787	55	221.821	240.496	169.53	151.561
FBgn0034468	Obp56a	264.48	367.92	465.226	171	363.962	279.045	34.147	232.684	37.065	204.326	190.412	88	181.001	1445.945	218.489	213.996	21	188.558	148	122.525	263.94	297.969	244.398	171.287
FBgn0034470	Obp56d	9995.743	8250	9961.146	7316	13545	5791.963	680.038	811.957	838	3604.067	5062.398	5629.006	10195.184	34777.254	14573.565	11404.25	2944.796	8185	5031.919	5091.53	5121.472	8261.003	4318.993	3507.74
FBgn0034471	Obp56e	4892.115	4364.638	5356.29	3546.3	7751.574	3372.277	89.756	42.297	55.308	96.442	350.981	621.579	7933.897	12514.667	10621.405	8034.322	2318.008	5590.782	561.025	463.905	371.744	647.789	666.357	359.038
FBgn0034472	CG8517	7.009	6.977	3.514	3	3.136	6	5	5.102	5	5.019	12.121	3.743	3	5	4	8.972	5	7	3.001	10.482	10.59	1.316	2.08	1
FBgn0034473	Or56a	3.02	6	8.999	5.003	16	39.714	2	5	2	13	21.904	9.985	5	16.013	10	27	35.031	5.012	14.062	18	6.006	17.067	8	5.084
FBgn0034474	Obp56g	1594	1488.904	1788.168	570.165	1324	1269	87.24	111	389	2004	1254	1696.983	334.005	163.955	1016	742	769	37	905	800	1257.002	2042.953	315	824.006
FBgn0034475	Obp56h	169.001	141	287.03	92.886	174.827	135.038	27.999	29.095	40.071	187.228	144	208.999	259	163	733	664.78	395.092	75	544.978	586	733.996	1261.995	99	502
FBgn0034476	Toll-7	1773.27	1657.028	2361.919	2340.956	2173.265	1769.224	797.461	1231.114	1057.928	3080.663	3141.701	2680.093	1381.253	4169.485	1914.838	1847.363	1681.962	1628.96	3680.03	3472.91	3596.129	3196.598	3734.435	2891.681
FBgn0034477	CG13872	12.69	16.013	12.068	2.195	8.006	14.001	7.001	9	12.1	10.001	30.315	14.068	9	23.987	17.195	7.016	9	12.766	21.091	20	16.013	9.279	7.01	14.919
FBgn0034478	CG10822	4	4	5	4	2.862	2	5	7	3.588	5	10	3	4	1	5	6	6.926	4	11.78	6	3	3	5	2
FBgn0034479	CG8654	655.113	394.431	489.378	722.64	1004.001	515.805	146.999	763.762	931.709	205.146	193.45	234.002	2445.028	131.63	2289.987	2108.009	196	1426.967	226.009	357.843	394	679.498	922.211	1016.898
FBgn0034480	CG16898	85.957	116	302	168.836	178.064	107.004	201	79.002	63	254.951	227.33	916	309.569	28.24	232.777	181.997	22.87	137	210.998	122.976	335.38	465.875	902.943	515
FBgn0034481	CG11041	4.001	4	3	9.687	7.011	2	1.004	3.005	1.999	10.019	19	5	6.011	7	10.29	5.001	3	3.012	8.086	16	24	9.991	6.14	12.194
FBgn0034483	CG16894	14.984	8	21.524	10.026	10	10.168	7	4	7.273	16	27	12.998	12.111	8.023	21	15	9	12.989	25.588	34	11	10	8	6
FBgn0034484	CG11044	275	241.481	348.976	297	302.982	233.89	59.952	68.982	101.304	252.996	257.23	231.141	189	329.001	223.713	278.033	144.996	189.171	410.767	316.476	275.516	262.849	205.075	196.019
FBgn0034485	CG11099	1398.335	1191.219	1739.27	2047.334	1660.845	1485.841	579.354	676.804	688.707	2340.425	2501.839	2162.94	953.648	2730.408	1345.646	1213.312	1062.527	1130.597	2104.644	2002.476	2256.411	1839.724	1764.748	1762.639
FBgn0034486	CG13869	5.668	7.841	16.182	19.343	15.239	20.327	4.054	12.301	17.835	32.525	18.053	8.149	7.923	11.85	21.802	22.067	10.347	7.877	32.281	9.51	15.304	20.377	25.361	15.175
FBgn0034487	Efhc1.2	115.041	248.974	321.164	375.001	240.996	188.971	159.151	155.624	196	480.684	455.696	281.655	53.843	119.902	91.171	123.276	87.535	98.943	169.331	200.376	165.835	202.015	220.804	184.789
FBgn0034488	Hacl	990.034	777.055	1085.084	1061.773	969.879	760.999	531.917	749.128	577.187	825.011	961.13	900.726	753	1160.98	1085.643	829.882	695	994.742	974.291	970.825	979.57	901.151	1079	712.762
FBgn0034489	ppk6	11.256	19.015	10.279	9.032	11.821	11.938	11	12.36	19.023	8	19.017	9.001	14	15.555	16.021	14.022	7.169	13.005	27.827	23.047	16.078	12.201	5	7
FBgn0034490	CG9864	92.006	69.65	116.224	84.01	77.274	57.16	44.175	56.202	35.057	88.605	91.944	69	55.374	191.892	49.107	89.043	41	47.006	109.881	67.994	67.609	84.226	74.028	65.792
FBgn0034491	Hsl	2058	1856.421	2659.297	2408.806	2354.967	1699.958	628.622	964.252	891.158	2517.569	2458.711	2271.018	1620.691	3139.935	2002.766	1784.028	1721.899	1556.212	2323.53	2176.096	2439.043	2251.919	2578.751	2061.256
FBgn0034493	CG8908	595.948	538.521	683.779	864.444	900.472	635.934	201.486	307.53	250.283	479.356	548.485	413.106	990.477	385.797	698.189	915.612	278.189	568.78	486.631	376.593	441.702	440.921	710.84	510.758
FBgn0034494	CG10444	2040.926	1615.996	2192	2279.993	1986.997	1305	451.285	1303.998	921.067	1944.005	1862.594	2312.004	1759.853	4159.962	2371.001	2007.934	1432	1918	3362.688	2775.213	2762	2448.996	2579.046	2028
FBgn0034495	CG11788	73.064	60.287	76.334	103.67	78.965	66.158	42.003	40.387	42.142	86.677	159.908	94.673	56.078	111.686	73.484	69	50.214	73.376	138.287	158.048	146.038	122.218	131.19	104.289
FBgn0034497	Mpcp1	4325.129	31260.093	9886.912	2068.75	8197.744	25534.897	1820.41	19110.458	1471.849	4062.957	13453.51	4909.228	2867.604	9905.447	8902.033	8868.001	3856.894	2956.542	5215.417	6499.504	4084.862	7274.627	2657.041	1396.217
FBgn0034498	CG16868	864.052	938.659	1294.123	1113.965	1120.114	908.208	404.957	636.9	619.063	1404.483	1428.042	1258.479	667.726	1687.914	1079.165	831.634	866	945.096	1499.792	1421.167	1483.56	1315.282	1490.617	1283.403
FBgn0034499	Cpr56F	10	14.999	8.008	12.022	10	5.001	6.71	12	7.001	10.38	29.847	26.089	14	9.001	8	13.01	10.92	2	11.001	16.016	6.589	19.317	16	11.007
FBgn0034500	CG11200	462.368	410	519.333	479.269	535	359.583	117	147.006	209.151	513	526.254	435.246	604.636	761.752	654.185	581.073	263.046	473	685.015	618.007	575	606.999	538.005	367.973
FBgn0034501	CG13868	20812.083	13974.221	23395.306	22038.01	26414.953	14253.583	2930.112	4099.594	3907.269	12587.637	15854.296	16449.181	19697.068	12913.01	16164.469	23395.261	14053.545	14538.168	12518.043	11881.261	13057.917	14717.904	24406.361	18109.144
